2018-10-23 07:32,大连地铁微博会员特权置顶早安大家要的首末车时间在此奉上二哈二哈如有运营时间变动我们会及时更新这个时间表的也欢迎大家关注大连地铁微信公众号点击菜单栏里的站点查询功能也可以看最新的首末车时间酷酷随着樱花节的到来我们还增加了樱花主题车厢时刻表
2019-04-02 13:40,#大连地铁正能量#,大连地铁大连地铁正能量前天中午一名小女孩从联合路站下车独自一人无成人陪同班长高伟发现后便上前询问原来小女孩是和朋友姐姐外出游玩后自己返回要到中山公园市场摊位找妈妈家长并不知道小女孩独自在外为了小女孩安全车站工作人员将她送到了妈妈的摊位小女孩的父母很是感谢再次提醒家长展开全文
2019-04-02 13:13,大连地铁小编也想感受一下伸手摸到车顶的感觉笑笑视频来自米的大娇米的大娇大连地铁的微博视频大连地铁的微博视频
2019-04-02 08:39,#今日早高峰#,大连地铁今日早高峰现在各条线路的总体出行客流还是比较多的号线各车站站台候车乘客都在增加当中客流出行方向主要集中在华南北站至海事大学站区间在这一区间出站乘客较多的车站分别是兴工街站和西安路站号线客流一直比较稳定主要集中在马栏广场站至人民广场站区间青泥洼桥至西安路区间截至展开全文
2019-04-02 07:35,#今日天气#,大连地铁今日天气早太阳太阳今天晴有时多云偏北风到级气温天气晴好可适当开展户外运动想乘坐号线樱花专列出行的请参考下面的时间表
2019-04-01 23:48,#Hello四月#,四月满载樱花的地铁号线专列大连地铁大连地铁
2019-04-01 17:23,#大连身边事#,赞赞赞赞赞赞这是哪一站呀
2019-04-01 16:19,怪不得濒危了话说怎么长得那么大呀汗汗
2019-04-01 13:42,色色好美的樱花专列
2019-04-01 15:02,#昨日客流#,大连地铁昨日客流万人次客流万人次客流万人次
2019-04-01 14:58,大连地铁想乘坐樱花专列的小伙伴请看时刻表
2019-04-01 14:43,怎一个美字了得
2019-04-01 11:58,旅顺口小美女开往旅顺二三樱花园的地铁号线月日正式开通当你迈入缓缓停站的地铁那一刻不可思议地发现自己被梦境般的浪漫粉色萦绕花枝簇拥花瓣飘零念着诗人写给樱花的诗词每个人的眼神都变得明亮化作一道春光流淌向花开的方向四月中旬旅顺二三樱花园走起展开全文
2019-04-01 11:26,大连地铁刚刚从河口出发的樱花专列于启程不知道小伙伴们是否已经乘坐上了欢迎乘坐专列的小伙伴们拍照打卡如果拍了好看的照片也欢迎发微博艾特我们也可以私信给我们发照片下面将樱花专列的时间告知大家河口发车旅顺新港发车展开全文
2019-04-01 08:13,#今日早高峰#,大连地铁今日早高峰现在各条线路的总体出行客流还是比较多的号线的华南广场站大连北站千山路站号线的红旗西路站虹港路站以及辛寨子车站进站客流都比较密集号线春柳站至学苑广场站区间进出站乘客正在陆续增多号线客流较为平稳但虹锦路至西安路区间乘车压力还是比较大截至分号线展开全文
2019-04-01 07:34,#今日天气#,大连地铁今日天气早安心心今天是年月日星期一农历二月廿六今天晴间多云北风级气温气温回升但风干物燥防火形势比较严峻随着清明临近祭扫人群增多大家在野外一定要提高安全防火意识大连气象大连气象
2019-04-01 07:32,#大连地铁正能量#,大连地铁正能量安检小姐姐服务很到位呀
2019-04-01 07:31,#樱花#,樱花专列嘻嘻嘻嘻大连户口身份证大连户口身份证樱花大连地铁大连地铁
2019-03-31 20:09,大连地铁樱花主题专列明儿在网红号线开跑具体时间表过两天就能出大家提前感受一下哈大连地铁的微博视频大连地铁的微博视频
2019-03-31 08:33,#大连地铁正能量#,大连地铁大连地铁正能量昨天上午两名乘客从大连北站上行列车下来其中一名中年女乘客心脏不舒服站台工作人员李思雯发现后马上安抚乘客并上报站长乘客家属说出来的匆忙没有随身携带药品员工李权峰马上开车去买乘客指定需要的药物服药十分钟后乘客渐渐意识恢复知道得到工作人员的帮助很是感动展开全文
2019-03-31 06:56,#今日天气#,大连地铁今日天气大连月日晴气温空气湿度西南风级天气较冷易感冒不宜出游建议穿上毛衣棉服类的厚外套可内搭衬衫或毛衣行游大连
2019-03-30 09:34,大连地铁雪天路面湿滑出行请注意安全同时车站已经铺设了防滑垫安全稳稳的耶耶
2019-03-30 07:31,#今日天气#,大连地铁今日天气阴有阵雨转晴相对湿度西北风级阵风级减弱到级预计明天上午降水天气还将继续金普新区以南包括东部的长海地区降水形式以阵雨为主而北部的瓦房店普兰店庄河长兴岛还可能出现雨夹雪降水会导致路面湿滑大家外出一定要格外注意交通安全展开全文
2019-03-29 17:16,#大连地铁正能量#,大连地铁大连地铁正能量前几日提到了一个小姑娘离校出走到海之韵站的事儿由于当时工作人员顾嘉莉对小姑娘照顾有佳并及时联系上了孩子的家长今天小姑娘的家人为了表示感谢送来了锦旗顾嘉莉你咋那么优秀呢偷乐偷乐鲜花鲜花
2019-03-29 09:48,这种属于正常服务标准嘻嘻嘻嘻作揖作揖感谢您对我们工作人员服务的认可
2019-03-29 09:07,大连地铁按照集团公司质量提升年工作总体部署为进一步提升学科建设质量加强校企合作提升培训质量月日上午集团公司培训中心赴大连市交通技师学院开展了专题交流活动培训中心综合管理部教学组及市交通技师学院宿宝进副院长教研处总务处等相关人员参加本次交流座谈活动会后分别前往展开全文
2019-03-29 08:35,大连地铁红旗西路相关通知作揖作揖
2019-03-29 08:35,#今日早高峰#,大连地铁今日早高峰今天是本周的最后一个工作日目前各条线路的整体客流较昨日相比基本持平号线大连北站华南广场站春柳站的进站客流还是相对较多的号线辛寨子站至交通大学站上车的乘客很多最后要跟大家分享一条出行信息因施工需要红旗西路站口将于月日至月日期间进行封闭施工请展开全文
2019-03-29 06:32,#今日天气#,大连地铁今日天气多云转阴部分地区有小阵雨相对湿度偏南风级明天我市天气继续是以多云为主偏南风风力轻缓市区气温在到了夜间受冷涡系统影响部分地区还会有一次短暂的小阵雨过程并且紧随着又会有一股冷空气南下好在我市并没有处在其行军的主要路径上因展开全文
2019-03-28 16:34,#昨日客流#,大连地铁昨日客流万人次
2019-03-28 08:18,#今日早高峰#,大连地铁今日早高峰目前各条线路的整体客流较昨日相比基本持平号线大连北站至兴工街站的区间以及河口站去往西安路站的乘客是比较集中的号线从虹港路至西安路这一区间客流比较密集截至分号线客流人次号线客流人次号线人次
2019-03-28 07:43,#今日天气#,大连地铁今日天气今天冷空气撤离风力减弱气温变化不大市区白天的最高气温在夜间最低气温在附近只是继续吹刮北风北风的抽湿作用使得空气非常干燥建议大家多喝水为身体补充缺失的水分有条件最好在室内进行加湿本周五至周日还将不断有弱冷空气影响我市气温都难以出现明显回升展开全文
2019-03-27 21:14,#大连身边事#,禁止地铁车站内车厢内有乞讨行为已经将相关情况告知部门明天会对该行为加强巡查作揖作揖
2019-03-27 10:20,#昨日客流#,大连地铁昨日客流万人次
2019-03-27 08:13,#今日早高峰#,大连地铁今日早高峰目前两条线路的整体客流较昨日相比基本持平号线华南广场站东纬路站以及香工街站的乘客相对较多客流出行方向主要集中在大连北站去往西安路站区间号线客流压力主要集中在虹锦路站至中山广场站区间马栏广场站交通大学站上车的乘客相对较多截至分号线客流人次展开全文
2019-03-27 06:50,#今日天气#,大连地铁今日天气早安今天有雾陆地北风到级中午增强到到级阵风级市区气温全天在周四周五天气以多云为主虽然风力减弱不过气温继续小幅回落市区最高气温最低气温冬末春初的气温向来都是随机播放的大家千万别被周一的假春天迷惑预计双休日也并不暖和天气多展开全文
2019-03-26 15:06,#昨日客流#,大连地铁昨日客流万人次
2019-03-26 09:36,#大连地铁正能量#,大连地铁大连地铁正能量昨天海之韵站的工作人员顾嘉莉发现有一个小姑娘独自在徘徊怕出什么事儿所以上前进行询问得知她是从学校出走的她立即报告站长并联系了警察之后又和小姑娘的家人取得联系在等待家里人过程中工作人员一直安抚小姑娘的情绪不一会女孩的父亲赶到地铁站此时蓝天救援队也展开全文
2019-03-26 09:20,#大连地铁正能量#,大连地铁大连地铁正能量昨天在人民广场站下行等车的一名女乘客突然感觉身体不适工作人员第一时间赶到现场送来热水乘客缓解一下后想在人民广场休息一会等家人来接于是工作人员将乘客扶到员工区休息家属到来后将乘客接走在此提醒各位乘客如果乘坐地铁时身体不适请一定跟车站工作人员联系家展开全文
2019-03-26 08:23,#今日早高峰#,大连地铁今日早高峰目前车站的客流还不是很密集客流主要集中在一号线去往河口的方向和二号线去往海之韵方向号线客流出行方向主要集中在大连北站去往七贤岭站区间以及学苑广场站去往华南广场站区间现在各车站客流都比较平稳没有出现乘客排队拥挤的情况号线客流以红旗西路至中山广场站这一区间为展开全文
2019-03-26 07:04,早安今儿有风有雾但是温度很给力太阳太阳
2019-03-25 18:01,大连地铁闯入轨道区间的孔雀咋样啦昨天在保税区度过一晚的孔雀阿保已经被专家接走了如果检查没问题将被送往森林动物园与其它孔雀一同生活让我们用一段视频再次想念一下这个大尾巴的小家伙吧挤眼挤眼大连地铁的秒拍视频大连地铁的秒拍视频
2019-03-25 16:08,你是故意拍得那么虚嘛怕别人看吃瓜吃瓜
2019-03-25 15:23,#千万红包天团，迎接第1.5亿云闪付幸运鹅#,提前恭喜第亿幸运鹅赶上银联释放大手笔赞赞赞赞赞赞
2019-03-25 11:09,#大连地铁正能量#,大连地铁大连地铁正能量昨天下午在星海广场站一位女乘客在列车座椅上拾到一个文件袋内有重要图纸出站后将其交给工作人员经过多方查找终于与失主取得联系失主张先生来到车站后非常开心失而复得让张先生挽回损失张先生对车站服务很满意车站工作人员很开心嘻嘻嘻嘻
2019-03-25 10:19,#昨日客流#,大连地铁昨日客流万人次客流万人次客流万人次
2019-03-25 10:17,#大布回声#,五号线最新进展请看过来
2019-03-25 08:23,#今日早高峰#,大连地铁今日早高峰目前车站的客流还不是很密集客流主要集中在一号线去往河口的方向和二号线去往海之韵方向号线看到大连北站松江路站学苑广场站的乘客相对较多号线客流集中在虹锦路至青泥洼桥站的区间截至分号线客流人次号线客流人次号线人次
2019-03-25 07:54,#大连地铁正能量#,大连地铁大连地铁正能量昨天上午在星海广场站一位女乘客带着娃娃求助站台工作人员希望能够有一个适宜给孩子哺乳的地方随后工作人员将乘客带至车站的母婴室这位女乘客对于车站能够提供方便非常满意在此也提醒各位带娃娃出门的新妈妈如果在地铁站需要给孩子哺乳可以联系我们车站的工作人员展开全文
